Wed  2 Oct 15:38:00 EDT 2024: Oyster       64 bytes from 10.49.0.2: icmp_seq=1 ttl=63 time=15.2 ms
Wed  2 Oct 15:38:00 EDT 2024: NavPi        64 bytes from 10.49.0.4: icmp_seq=1 ttl=63 time=15.1 ms
Wed  2 Oct 15:38:00 EDT 2024: PantherPi    64 bytes from 10.49.0.9: icmp_seq=1 ttl=63 time=15.3 ms
Wed  2 Oct 15:38:30 EDT 2024: Google       64 bytes from 8.8.8.8: icmp_seq=1 ttl=115 time=16.7 ms
Wed  2 Oct 15:38:30 EDT 2024: ServerPi     64 bytes from 10.49.0.1: icmp_seq=1 ttl=64 time=6.88 ms
Wed  2 Oct 15:38:30 EDT 2024: Oyster       64 bytes from 10.49.0.2: icmp_seq=1 ttl=63 time=11.8 ms
Wed  2 Oct 15:38:30 EDT 2024: NavPi        64 bytes from 10.49.0.4: icmp_seq=1 ttl=63 time=25.7 ms
Wed  2 Oct 15:38:30 EDT 2024: PantherPi    64 bytes from 10.49.0.9: icmp_seq=1 ttl=63 time=16.6 ms
Wed  2 Oct 15:39:00 EDT 2024: Google       64 bytes from 8.8.8.8: icmp_seq=1 ttl=115 time=17.1 ms
Wed  2 Oct 15:39:00 EDT 2024: ServerPi     64 bytes from 10.49.0.1: icmp_seq=1 ttl=64 time=7.37 ms
Wed  2 Oct 15:39:00 EDT 2024: Oyster       64 bytes from 10.49.0.2: icmp_seq=1 ttl=63 time=26.2 ms
Wed  2 Oct 15:39:00 EDT 2024: NavPi        64 bytes from 10.49.0.4: icmp_seq=1 ttl=63 time=54.8 ms
Wed  2 Oct 15:39:00 EDT 2024: PantherPi    64 bytes from 10.49.0.9: icmp_seq=1 ttl=63 time=16.1 ms
Tue  5 Nov 14:43:03 EST 2024: Google       64 bytes from 8.8.8.8: icmp_seq=1 ttl=115 time=63.1 ms
Tue  5 Nov 14:43:03 EST 2024: ServerPi     64 bytes from 10.49.0.1: icmp_seq=1 ttl=64 time=27.2 ms
Tue  5 Nov 14:43:03 EST 2024: Oyster       64 bytes from 10.49.0.2: icmp_seq=1 ttl=63 time=25.7 ms
Tue  5 Nov 14:43:03 EST 2024: NavPi        64 bytes from 10.49.0.4: icmp_seq=1 ttl=63 time=53.7 ms
Tue  5 Nov 14:43:03 EST 2024: PantherPi    64 bytes from 10.49.0.9: icmp_seq=1 ttl=63 time=53.8 ms
Tue  5 Nov 14:43:33 EST 2024: Google       64 bytes from 8.8.8.8: icmp_seq=1 ttl=115 time=41.5 ms
Tue  5 Nov 14:43:33 EST 2024: ServerPi     64 bytes from 10.49.0.1: icmp_seq=1 ttl=64 time=34.6 ms
Tue  5 Nov 14:43:33 EST 2024: Oyster       64 bytes from 10.49.0.2: icmp_seq=1 ttl=63 time=65.5 ms
Tue  5 Nov 14:43:33 EST 2024: NavPi        64 bytes from 10.49.0.4: icmp_seq=1 ttl=63 time=60.9 ms
Tue  5 Nov 14:43:33 EST 2024: PantherPi    64 bytes from 10.49.0.9: icmp_seq=1 ttl=63 time=58.6 ms
Tue  5 Nov 14:44:03 EST 2024: Google       64 bytes from 8.8.8.8: icmp_seq=1 ttl=115 time=34.5 ms
Tue  5 Nov 14:44:03 EST 2024: ServerPi     64 bytes from 10.49.0.1: icmp_seq=1 ttl=64 time=35.9 ms
Tue  5 Nov 14:44:03 EST 2024: Oyster       64 bytes from 10.49.0.2: icmp_seq=1 ttl=63 time=31.8 ms
Tue  5 Nov 14:44:03 EST 2024: NavPi        64 bytes from 10.49.0.4: icmp_seq=1 ttl=63 time=70.4 ms
Tue  5 Nov 14:44:03 EST 2024: PantherPi    64 bytes from 10.49.0.9: icmp_seq=1 ttl=63 time=70.5 ms
Tue  5 Nov 14:44:34 EST 2024: Google       64 bytes from 8.8.8.8: icmp_seq=1 ttl=115 time=58.2 ms
Tue  5 Nov 14:44:34 EST 2024: ServerPi     64 bytes from 10.49.0.1: icmp_seq=1 ttl=64 time=55.7 ms
